Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud,merch_zipcode
121958,3/9/2019 18:13,38530500000000.0,fraud_Auer LLC,personal_care,140.73,Laura,Johns,F,95835 Garcia Rue,Arcadia,SC,29320,34.9572,-81.9916,530,Animal technologist,5/14/1989,5e98ab442a9a79b3ad8619334035d0ed,1331316795,34.989024,-82.842443,0,29685.0
671155,10/13/2019 9:28,30143700000000.0,fraud_Mayert Group,shopping_pos,5.6,Nicholas,Thornton,M,5270 Megan Burg Suite 756,Halma,MN,56729,48.6669,-96.5969,140,"Embryologist, clinical",1/6/1942,0bb27a5a4fdae46a6c80f428ff746349,1350120506,47.80783,-97.498754,0,58267.0
131932,3/13/2019 21:46,3583293909206278.0,fraud_Wuckert-Goldner,home,118.27,Deborah,Fisher,F,1911 Fisher Brook,Kirtland Afb,NM,87117,35.0203,-106.5503,310,"Surveyor, land/geomatics",9/30/1978,71bb8153853c951bd06edb1c782e544d,1331675187,34.849069,-106.219762,0,
365838,6/18/2019 16:06,4.646845581490336e+18,fraud_Bauch-Blanda,entertainment,84.79,Julia,Bell,F,576 House Crossroad,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,6/25/1990,f404ac7b3f9893fe791ff7e3d973b39a,1340035609,40.721799,-73.71091,0,11001.0
259178,5/9/2019 6:54,377896000000000.0,fraud_Gislason Group,misc_pos,2.33,Kimberly,Myers,F,6881 King Isle Suite 228,Higganum,CT,6441,41.4682,-72.5751,5438,"Librarian, academic",11/17/1964,abbf650ee867f8c8c2b8b751d7080656,1336546444,40.711495,-71.670634,0,
644167,9/30/2019 20:59,4450831335606294.0,fraud_Torphy-Goyette,shopping_pos,7.0,Donna,Davis,F,6760 Donovan Lakes,Clayton,OK,74536,34.5906,-95.38,1760,Occupational psychologist,1/20/1972,b02247cf2de72d548f700506de8a67ff,1349038755,34.834942,-95.505521,0,74547.0
110268,3/4/2019 2:49,6528911529051375.0,fraud_Sporer Inc,gas_transport,72.38,Diane,Smith,F,195 Murray Overpass Apt. 384,Winter,WI,54896,45.8327,-91.0144,1478,Neurosurgeon,4/27/1965,e2e57e418ddbd3760606d622285240cd,1330829368,45.04371,-90.231846,0,54480.0
732180,11/9/2019 11:27,2657850734909997.0,"fraud_Kutch, Hermiston and Farrell",gas_transport,61.97,Alan,Howard,M,04139 Johnson Prairie Suite 401,Detroit,MI,48206,42.3749,-83.1087,673342,Trading standards officer,11/1/1946,640c66dbecc819698a93b503de6a99bf,1352460447,41.838644,-83.614205,0,48140.0
54886,2/2/2019 16:30,213179000000000.0,fraud_Renner Ltd,home,65.93,Shawn,King,M,31493 Garcia Summit,Athena,OR,97813,45.8289,-118.4971,1302,Dealer,10/18/1976,fc6f5de00e0d02ce9d689f33ce747453,1328200209,46.051087,-118.749536,0,99360.0
137337,3/16/2019 15:04,4755700000000.0,fraud_Jakubowski Inc,home,35.13,Robert,Evans,M,01892 Patricia Vista Apt. 828,Sachse,TX,75048,32.9643,-96.6012,20328,Site engineer,6/20/1985,51bf049d39d488112a2479f5239da5b2,1331910241,32.422179,-97.236458,0,76009.0
